N,age,ethnicity,region,sex
858,Age 25 to 29,black,Wales,female
830,Age 30 to 34,black,Wales,female
757,Age 35 to 39,black,Wales,female
667,Age 40 to 44,black,Wales,female
590,Age 45 to 49,black,Wales,female
388,Age 50 to 54,black,Wales,female
213,Age 55 to 59,black,Wales,female
147,Age 60 to 64,black,Wales,female
116,Age 65 to 69,black,Wales,female
128,Age 70 to 74,black,Wales,female
89,Age 75 to 79,black,Wales,female
57,Age 80 to 84,black,Wales,female
39,Age 85 and over,black,Wales,female
157,Age 18 to 19,other,North East,female
435,Age 20 to 24,other,North East,female
488,Age 25 to 29,other,North East,female
435,Age 30 to 34,other,North East,female
402,Age 35 to 39,other,North East,female
294,Age 40 to 44,other,North East,female
229,Age 45 to 49,other,North East,female
133,Age 50 to 54,other,North East,female
111,Age 55 to 59,other,North East,female
59,Age 60 to 64,other,North East,female
47,Age 65 to 69,other,North East,female
27,Age 70 to 74,other,North East,female
16,Age 75 to 79,other,North East,female
15,Age 80 to 84,other,North East,female
11,Age 85 and over,other,North East,female
651,Age 18 to 19,other,North West,female
1495,Age 20 to 24,other,North West,female
2128,Age 25 to 29,other,North West,female
1944,Age 30 to 34,other,North West,female
1550,Age 35 to 39,other,North West,female
1166,Age 40 to 44,other,North West,female
816,Age 45 to 49,other,North West,female
607,Age 50 to 54,other,North West,female
392,Age 55 to 59,other,North West,female
288,Age 60 to 64,other,North West,female
193,Age 65 to 69,other,North West,female
127,Age 70 to 74,other,North West,female
124,Age 75 to 79,other,North West,female
72,Age 80 to 84,other,North West,female
64,Age 85 and over,other,North West,female
534,Age 18 to 19,other,Yorkshire and the Humber,female
1740,Age 20 to 24,other,Yorkshire and the Humber,female
2097,Age 25 to 29,other,Yorkshire and the Humber,female
1686,Age 30 to 34,other,Yorkshire and the Humber,female
1362,Age 35 to 39,other,Yorkshire and the Humber,female
1019,Age 40 to 44,other,Yorkshire and the Humber,female
640,Age 45 to 49,other,Yorkshire and the Humber,female
558,Age 50 to 54,other,Yorkshire and the Humber,female
376,Age 55 to 59,other,Yorkshire and the Humber,female
236,Age 60 to 64,other,Yorkshire and the Humber,female
143,Age 65 to 69,other,Yorkshire and the Humber,female
139,Age 70 to 74,other,Yorkshire and the Humber,female
123,Age 75 to 79,other,Yorkshire and the Humber,female
104,Age 80 to 84,other,Yorkshire and the Humber,female
43,Age 85 and over,other,Yorkshire and the Humber,female
358,Age 18 to 19,other,East Midlands,female
1008,Age 20 to 24,other,East Midlands,female
1429,Age 25 to 29,other,East Midlands,female
1107,Age 30 to 34,other,East Midlands,female
995,Age 35 to 39,other,East Midlands,female
679,Age 40 to 44,other,East Midlands,female
504,Age 45 to 49,other,East Midlands,female
436,Age 50 to 54,other,East Midlands,female
349,Age 55 to 59,other,East Midlands,female
246,Age 60 to 64,other,East Midlands,female
138,Age 65 to 69,other,East Midlands,female
118,Age 70 to 74,other,East Midlands,female
85,Age 75 to 79,other,East Midlands,female
56,Age 80 to 84,other,East Midlands,female
51,Age 85 and over,other,East Midlands,female
636,Age 18 to 19,other,West Midlands,female
1933,Age 20 to 24,other,West Midlands,female
2263,Age 25 to 29,other,West Midlands,female
2169,Age 30 to 34,other,West Midlands,female
1772,Age 35 to 39,other,West Midlands,female
1337,Age 40 to 44,other,West Midlands,female
1018,Age 45 to 49,other,West Midlands,female
896,Age 50 to 54,other,West Midlands,female
790,Age 55 to 59,other,West Midlands,female
579,Age 60 to 64,other,West Midlands,female
377,Age 65 to 69,other,West Midlands,female
337,Age 70 to 74,other,West Midlands,female
269,Age 75 to 79,other,West Midlands,female
166,Age 80 to 84,other,West Midlands,female
112,Age 85 and over,other,West Midlands,female
333,Age 18 to 19,other,East of England,female
1042,Age 20 to 24,other,East of England,female
1540,Age 25 to 29,other,East of England,female
1434,Age 30 to 34,other,East of England,female
1206,Age 35 to 39,other,East of England,female
1014,Age 40 to 44,other,East of England,female
772,Age 45 to 49,other,East of England,female
566,Age 50 to 54,other,East of England,female
467,Age 55 to 59,other,East of England,female
372,Age 60 to 64,other,East of England,female
178,Age 65 to 69,other,East of England,female
161,Age 70 to 74,other,East of England,female
112,Age 75 to 79,other,East of England,female
82,Age 80 to 84,other,East of England,female
61,Age 85 and over,other,East of England,female
3885,Age 18 to 19,other,London,female
11326,Age 20 to 24,other,London,female
13967,Age 25 to 29,other,London,female
13765,Age 30 to 34,other,London,female
11903,Age 35 to 39,other,London,female
10390,Age 40 to 44,other,London,female
8414,Age 45 to 49,other,London,female
6567,Age 50 to 54,other,London,female
5003,Age 55 to 59,other,London,female
3782,Age 60 to 64,other,London,female
2608,Age 65 to 69,other,London,female
1944,Age 70 to 74,other,London,female
1327,Age 75 to 79,other,London,female
854,Age 80 to 84,other,London,female
612,Age 85 and over,other,London,female
724,Age 18 to 19,other,South East,female
1905,Age 20 to 24,other,South East,female
2356,Age 25 to 29,other,South East,female
2533,Age 30 to 34,other,South East,female
2304,Age 35 to 39,other,South East,female
1782,Age 40 to 44,other,South East,female
1448,Age 45 to 49,other,South East,female
1187,Age 50 to 54,other,South East,female
918,Age 55 to 59,other,South East,female
729,Age 60 to 64,other,South East,female
502,Age 65 to 69,other,South East,female
326,Age 70 to 74,other,South East,female
219,Age 75 to 79,other,South East,female
140,Age 80 to 84,other,South East,female
118,Age 85 and over,other,South East,female
188,Age 18 to 19,other,South West,female
516,Age 20 to 24,other,South West,female
739,Age 25 to 29,other,South West,female
836,Age 30 to 34,other,South West,female
661,Age 35 to 39,other,South West,female
500,Age 40 to 44,other,South West,female
359,Age 45 to 49,other,South West,female
320,Age 50 to 54,other,South West,female
230,Age 55 to 59,other,South West,female
146,Age 60 to 64,other,South West,female
127,Age 65 to 69,other,South West,female
83,Age 70 to 74,other,South West,female
64,Age 75 to 79,other,South West,female
45,Age 80 to 84,other,South West,female
39,Age 85 and over,other,South West,female
236,Age 18 to 19,other,Wales,female
522,Age 20 to 24,other,Wales,female
666,Age 25 to 29,other,Wales,female
670,Age 30 to 34,other,Wales,female
509,Age 35 to 39,other,Wales,female
405,Age 40 to 44,other,Wales,female
319,Age 45 to 49,other,Wales,female
188,Age 50 to 54,other,Wales,female
129,Age 55 to 59,other,Wales,female
104,Age 60 to 64,other,Wales,female
88,Age 65 to 69,other,Wales,female
60,Age 70 to 74,other,Wales,female
45,Age 75 to 79,other,Wales,female
38,Age 80 to 84,other,Wales,female
32,Age 85 and over,other,Wales,female
